implementation,domains,mode,union_percent,partitions,nodes,operations,union_ops,find_ops,min_partition_size,max_partition_size,median_seconds,min_seconds,max_seconds,speedup,operations_per_second,components,find_calls,union_calls,cas_attempts,cas_failures,cas_failure_rate,path_compactions,rank_updates
cas_union_find,1,shared,20,1,200000,1000000,200000,800000,200000,200000,1.081179,1.033065,1.125688,1.000,924916,32645,800000,200000,372540,0,0.000000,144234,60951
cas_union_find,2,shared,20,2,200000,1000000,200000,800000,100000,100000,1.086510,1.020195,1.186825,0.995,920378,32322,800000,200000,373623,4,0.000011,144496,61445
cas_union_find,4,shared,20,4,200000,1000000,200000,800000,50000,50000,0.889360,0.858023,0.948395,1.216,1124404,32323,800000,200000,372551,9,0.000024,143433,61432
cas_union_find,8,shared,20,8,200000,1000000,200000,800000,25000,25000,1.703536,1.593067,1.876899,0.635,587014,32304,800000,200000,374435,34,0.000091,145368,61337
cas_union_find,16,shared,20,16,200000,1000000,200000,800000,12500,12500,1.527063,1.324528,1.757551,0.708,654852,32243,800000,200000,373326,43,0.000115,144008,61518
mutex_union_find,1,shared,20,1,200000,1000000,200000,800000,200000,200000,1.204743,1.200771,1.221238,1.000,830052,32645,800000,200000,0,0,n/a,144234,60951
mutex_union_find,2,shared,20,2,200000,1000000,200000,800000,100000,100000,2.243324,2.232734,2.483512,0.537,445767,32322,800000,200000,0,0,n/a,144287,61558
mutex_union_find,4,shared,20,4,200000,1000000,200000,800000,50000,50000,2.840718,2.834078,2.852795,0.424,352024,32323,800000,200000,0,0,n/a,144723,61488
mutex_union_find,8,shared,20,8,200000,1000000,200000,800000,25000,25000,3.205725,3.151867,3.302365,0.376,311942,32304,800000,200000,0,0,n/a,145176,61441
mutex_union_find,16,shared,20,16,200000,1000000,200000,800000,12500,12500,3.484925,3.432576,3.497304,0.346,286950,32243,800000,200000,0,0,n/a,144234,61317
node_lock_union_find,1,shared,20,1,200000,1000000,200000,800000,200000,200000,4.413005,4.265642,4.955039,1.000,226603,32645,800000,200000,0,0,n/a,0,60951
node_lock_union_find,2,shared,20,2,200000,1000000,200000,800000,100000,100000,2.742122,2.714465,2.784738,1.609,364681,32322,800000,200000,0,0,n/a,0,61483
node_lock_union_find,4,shared,20,4,200000,1000000,200000,800000,50000,50000,1.837606,1.784082,1.852648,2.401,544186,32323,800000,200000,0,0,n/a,0,61349
node_lock_union_find,8,shared,20,8,200000,1000000,200000,800000,25000,25000,1.625051,1.608762,1.665135,2.716,615365,32304,800000,200000,0,0,n/a,0,61274
node_lock_union_find,16,shared,20,16,200000,1000000,200000,800000,12500,12500,1.421314,1.315177,1.459106,3.105,703574,32243,800000,200000,0,0,n/a,0,61313
cas_union_find,1,shared,50,1,200000,1000000,500000,500000,200000,200000,1.611671,1.410377,1.887567,1.000,620474,32645,500000,500000,381867,0,0.000000,153561,60951
cas_union_find,2,shared,50,2,200000,1000000,500000,500000,100000,100000,1.389375,1.344251,1.489320,1.160,719748,32322,500000,500000,382937,1,0.000003,153827,61431
cas_union_find,4,shared,50,4,200000,1000000,500000,500000,50000,50000,0.915966,0.810969,0.951170,1.760,1091744,32323,500000,500000,381493,17,0.000045,152482,61317
cas_union_find,8,shared,50,8,200000,1000000,500000,500000,25000,25000,1.075231,1.028159,1.077562,1.499,930033,32304,500000,500000,383633,85,0.000222,154473,61379
cas_union_find,16,shared,50,16,200000,1000000,500000,500000,12500,12500,1.096234,1.030508,1.177828,1.470,912214,32243,500000,500000,387616,359,0.000926,158049,61451
mutex_union_find,1,shared,50,1,200000,1000000,500000,500000,200000,200000,1.283699,1.274671,1.286283,1.000,778999,32645,500000,500000,0,0,n/a,153561,60951
mutex_union_find,2,shared,50,2,200000,1000000,500000,500000,100000,100000,2.325718,2.296646,2.529678,0.552,429975,32322,500000,500000,0,0,n/a,153873,61498
mutex_union_find,4,shared,50,4,200000,1000000,500000,500000,50000,50000,2.970463,2.946647,3.235893,0.432,336648,32323,500000,500000,0,0,n/a,155494,61435
mutex_union_find,8,shared,50,8,200000,1000000,500000,500000,25000,25000,3.392630,3.387934,3.581636,0.378,294757,32304,500000,500000,0,0,n/a,153788,61236
mutex_union_find,16,shared,50,16,200000,1000000,500000,500000,12500,12500,3.451998,3.352053,3.534440,0.372,289687,32243,500000,500000,0,0,n/a,154303,61199
node_lock_union_find,1,shared,50,1,200000,1000000,500000,500000,200000,200000,5.136758,5.119301,5.172473,1.000,194675,32645,500000,500000,0,0,n/a,0,60951
node_lock_union_find,2,shared,50,2,200000,1000000,500000,500000,100000,100000,3.314632,3.307542,3.377121,1.550,301693,32322,500000,500000,0,0,n/a,0,61457
node_lock_union_find,4,shared,50,4,200000,1000000,500000,500000,50000,50000,2.864503,2.617524,2.916621,1.793,349101,32323,500000,500000,0,0,n/a,0,61541
node_lock_union_find,8,shared,50,8,200000,1000000,500000,500000,25000,25000,3.101367,3.008526,3.141616,1.656,322438,32304,500000,500000,0,0,n/a,0,61339
node_lock_union_find,16,shared,50,16,200000,1000000,500000,500000,12500,12500,1.919755,1.695242,2.016998,2.676,520900,32243,500000,500000,0,0,n/a,0,61417
